Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0.45433918,0.0,-0.24923299,-7.6215987,-2.2197165,5.7579927,0.091146335,0.2962868,-0.13430813,-4.823378,-2.148202,-8.000753
0.4837013,0.05546212,-0.34408447,-7.9908853,-2.3909838,5.157455,0.06689856,0.26351142,-0.09637787,0.39655733,-4.3950768,-6.0163674
0.5066717,0.10745156,-0.41807288,-8.29737,-2.5818,4.545146,0.047112606,0.22235642,-0.092715584,3.260048,-5.152364,-5.15985
0.5261984,0.1509798,-0.46919897,-8.540878,-2.7905514,3.9289436,0.021844927,0.17868361,-0.12564,0.28096294,-5.5230093,-6.0950894
0.5439406,0.18455279,-0.5029893,-8.710469,-3.028502,3.3356116,-0.007933544,0.14178602,-0.1761679,1.3938689,-3.1254897,-2.8250418
0.5612396,0.20952661,-0.5255635,-8.809186,-3.302871,2.7676077,-0.03406463,0.11406972,-0.22023144,3.0488153,-6.480728,-5.1396546
0.57770723,0.22924137,-0.5401567,-8.857614,-3.5692816,2.230087,-0.04526762,0.09074284,-0.24777421,5.180197,-5.9270134,-3.7497988
0.59405553,0.24485856,-0.549626,-8.860295,-3.8398402,1.7091476,-0.03638337,0.07215139,-0.26317075,3.147809,-7.289299,-4.741994
0.6099178,0.25753444,-0.55504847,-8.827737,-4.0961127,1.2096742,-0.014174344,0.063959144,-0.27098718,3.4025545,-4.796844,-2.6048875
0.6250512,0.26767227,-0.557486,-8.76601,-4.333796,0.7386872,0.0059842262,0.06678784,-0.2709893,3.714323,-4.180877,-2.1769962
0.63998985,0.2756399,-0.5574457,-8.678781,-4.5572996,0.28313148,0.009823244,0.07295944,-0.26259586,4.0484724,-2.9518094,-1.9417068
0.6541134,0.28233886,-0.5555774,-8.576054,-4.7539034,-0.1486592,-0.004243573,0.07335654,-0.24893358,4.898637,-3.7176743,-1.3327453
0.6667596,0.28597105,-0.55410177,-8.445983,-4.9566836,-0.5167664,-0.024486247,0.06417526,-0.23600592,4.898637,-3.7176743,-1.3327453
0.6667596,0.28597105,-0.55410177,-8.445983,-4.9566836,-0.5167664,-0.024486247,0.06417526,-0.23600592,2.8388414,-4.4103246,-0.78746724
0.6789542,0.2856975,-0.5530427,-8.28287,-5.183269,-0.8355617,-0.038187902,0.04637802,-0.22776362,7.2725925,-6.48696,-0.20531005
0.69019926,0.28125006,-0.5532019,-8.089338,-5.4359064,-1.0880787,-0.042009886,0.025285777,-0.22585902,5.632964,-6.358821,0.27705026
0.7011751,0.27181286,-0.5549002,-7.850637,-5.734637,-1.2852339,-0.03925252,0.008543571,-0.2334274,4.288142,-4.455976,2.1645105
0.70957243,0.25788596,-0.55935454,-7.5921063,-6.053549,-1.3728954,-0.034269035,0.0046875197,-0.24961068,6.213122,-4.3333883,-1.2433599
0.71737415,0.23941442,-0.5649966,-7.294774,-6.4004307,-1.4110774,-0.030372528,0.016549509,-0.2625075,6.7441826,-2.6649084,-0.8891436
0.72471017,0.21889527,-0.5706527,-6.9724913,-6.7452245,-1.434123,-0.027940938,0.03576483,-0.256733,6.3931694,-3.8811326,-0.22924066
0.7304586,0.1980812,-0.5770393,-6.639427,-7.0745544,-1.427965,-0.022780728,0.050790865,-0.22761245,7.1518607,-3.3794203,0.3775165
0.7348603,0.17815667,-0.5838884,-6.299168,-7.383088,-1.4074389,-0.010666423,0.05754907,-0.18441978,5.4947915,-0.523458,1.4726876
0.73762673,0.16033754,-0.59117883,-5.9691,-7.6593714,-1.3690339,0.008494599,0.059643175,-0.14471586,5.4568157,-1.7507324,0.60588944
0.74128276,0.14407606,-0.5970432,-5.6229124,-7.9154525,-1.3779919,0.031609617,0.05996682,-0.12253664,4.2487164,-2.524157,0.7249806
0.7433485,0.12914152,-0.60371166,-5.28284,-8.149694,-1.3581117,0.052352663,0.057903588,-0.116981454,4.5455008,-1.7631912,1.011558
0.7448678,0.11432366,-0.6101865,-4.9400077,-8.366199,-1.3317013,0.062415447,0.05255068,-0.116643965,3.5706,-0.76138973,-0.19279885
0.74570054,0.100150265,-0.61627597,-4.6125197,-8.556538,-1.2964259,0.057263754,0.043220356,-0.11214382,2.917501,-1.332406,0.8588927
