,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,1.1061751,1.5689881,-2.5708842,4.189007,-8.680822,1.8071885,0.0037932391,0.0012967065,-0.00075481524,-0.1040619,0.031386577,0.13119692"
1,"2,1.1061751,1.5689881,-2.5708842,4.189007,-8.680822,1.8071885,0.0037932391,0.0012967065,-0.00075481524,-0.1040619,0.031386577,0.13119692"
2,"3,1.0982224,1.6562432,-2.559034,4.20885,-8.65867,1.8663836,0.00053124514,0.0010795242,0.004482048,-0.09813425,-0.0034519897,0.13625483"
3,"4,1.0982224,1.6562432,-2.559034,4.20885,-8.65867,1.8663836,0.00053124514,0.0010795242,0.004482048,-0.09813425,-0.0034519897,0.13625483"
4,"5,1.0982224,1.6562432,-2.559034,4.20885,-8.65867,1.8663836,0.00053124514,0.0010795242,0.004482048,-0.09813425,-0.0034519897,0.13625483"
5,"6,1.0982224,1.6562432,-2.559034,4.20885,-8.65867,1.8663836,0.00053124514,0.0010795242,0.004482048,-0.09813425,-0.0034519897,0.13625483"
6,"7,1.0913273,1.7366635,-2.5473382,4.233232,-8.635857,1.916276,0.00086660025,-0.0036761311,0.003975289,-0.07905289,-0.07580792,0.21162914"
7,"8,1.0913273,1.7366635,-2.5473382,4.233232,-8.635857,1.916276,0.00086660025,-0.0036761311,0.003975289,-0.07905289,-0.07580792,0.21162914"
8,"9,1.0913273,1.7366635,-2.5473382,4.233232,-8.635857,1.916276,0.00086660025,-0.0036761311,0.003975289,-0.07905289,-0.07580792,0.21162914"
9,"10,1.0913273,1.7366635,-2.5473382,4.233232,-8.635857,1.916276,0.00086660025,-0.0036761311,0.003975289,-0.07905289,-0.07580792,0.21162914"
10,"11,1.085397,1.8110267,-2.5354052,4.263109,-8.611177,1.9605922,-0.0028042076,-0.0029330268,0.00026083176,-0.07600731,-0.13918759,-0.007897791"
11,"12,1.085397,1.8110267,-2.5354052,4.263109,-8.611177,1.9605922,-0.0028042076,-0.0029330268,0.00026083176,-0.07600731,-0.13918759,-0.007897791"
12,"13,1.085397,1.8110267,-2.5354052,4.263109,-8.611177,1.9605922,-0.0028042076,-0.0029330268,0.00026083176,-0.07600731,-0.13918759,-0.007897791"
13,"14,1.085397,1.8110267,-2.5354052,4.263109,-8.611177,1.9605922,-0.0028042076,-0.0029330268,0.00026083176,-0.07600731,-0.13918759,-0.007897791"
14,"15,1.0796274,1.881435,-2.5226524,4.2895274,-8.585009,2.016922,0.00024379785,0.00341317,-0.0043063858,0.0492023,-0.37569594,-0.55811775"
15,"16,1.0796274,1.881435,-2.5226524,4.2895274,-8.585009,2.016922,0.00024379785,0.00341317,-0.0043063858,0.0492023,-0.37569594,-0.55811775"
16,"17,1.0796274,1.881435,-2.5226524,4.2895274,-8.585009,2.016922,0.00024379785,0.00341317,-0.0043063858,0.0492023,-0.37569594,-0.55811775"
17,"18,1.0796274,1.881435,-2.5226524,4.2895274,-8.585009,2.016922,0.00024379785,0.00341317,-0.0043063858,0.0492023,-0.37569594,-0.55811775"
18,"19,1.0796274,1.881435,-2.5226524,4.2895274,-8.585009,2.016922,0.00024379785,0.00341317,-0.0043063858,0.0492023,-0.37569594,-0.55811775"
19,"20,1.0728939,1.9449041,-2.5106955,4.2959895,-8.564811,2.087791,0.002271898,-0.0027541707,-0.0045991563,0.044003658,0.89741224,-0.8706084"
20,"21,1.0728939,1.9449041,-2.5106955,4.2959895,-8.564811,2.087791,0.002271898,-0.0027541707,-0.0045991563,0.044003658,0.89741224,-0.8706084"
21,"22,1.0728939,1.9449041,-2.5106955,4.2959895,-8.564811,2.087791,0.002271898,-0.0027541707,-0.0045991563,0.044003658,0.89741224,-0.8706084"
22,"23,1.0728939,1.9449041,-2.5106955,4.2959895,-8.564811,2.087791,0.002271898,-0.0027541707,-0.0045991563,0.044003658,0.89741224,-0.8706084"
23,"24,1.0728939,1.9449041,-2.5106955,4.2959895,-8.564811,2.087791,0.002271898,-0.0027541707,-0.0045991563,0.044003658,0.89741224,-0.8706084"
24,"25,1.0664201,2.0086062,-2.4963198,4.3032804,-8.538402,2.1789575,-0.001082718,0.0010326809,0.0026274808,-0.06703125,-0.44611457,-0.27606624"
25,"26,1.0664201,2.0086062,-2.4963198,4.3032804,-8.538402,2.1789575,-0.001082718,0.0010326809,0.0026274808,-0.06703125,-0.44611457,-0.27606624"
26,"27,1.0664201,2.0086062,-2.4963198,4.3032804,-8.538402,2.1789575,-0.001082718,0.0010326809,0.0026274808,-0.06703125,-0.44611457,-0.27606624"
27,"28,1.0664201,2.0086062,-2.4963198,4.3032804,-8.538402,2.1789575,-0.001082718,0.0010326809,0.0026274808,-0.06703125,-0.44611457,-0.27606624"
28,"29,1.0664201,2.0086062,-2.4963198,4.3032804,-8.538402,2.1789575,-0.001082718,0.0010326809,0.0026274808,-0.06703125,-0.44611457,-0.27606624"
29,"30,1.0615458,2.0644124,-2.481651,4.3252397,-8.507691,2.254302,0.05157123,0.036112957,-0.023403531,0.06699803,0.06026162,-0.33818617"
30,"31,1.0615458,2.0644124,-2.481651,4.3252397,-8.507691,2.254302,0.05157123,0.036112957,-0.023403531,0.06699803,0.06026162,-0.33818617"
31,"32,1.0615458,2.0644124,-2.481651,4.3252397,-8.507691,2.254302,0.05157123,0.036112957,-0.023403531,0.06699803,0.06026162,-0.33818617"
32,"33,1.0615458,2.0644124,-2.481651,4.3252397,-8.507691,2.254302,0.05157123,0.036112957,-0.023403531,0.06699803,0.06026162,-0.33818617"
33,"34,1.0615458,2.0644124,-2.481651,4.3252397,-8.507691,2.254302,0.05157123,0.036112957,-0.023403531,0.06699803,0.06026162,-0.33818617"
34,"35,1.0571932,2.1177862,-2.4645805,4.3473845,-8.469762,2.3523984,0.07916617,0.047345757,-0.032911647,-0.28218684,0.11977303,-0.080224566"
35,"36,1.0571932,2.1177862,-2.4645805,4.3473845,-8.469762,2.3523984,0.07916617,0.047345757,-0.032911647,-0.28218684,0.11977303,-0.080224566"
36,"37,1.0571932,2.1177862,-2.4645805,4.3473845,-8.469762,2.3523984,0.07916617,0.047345757,-0.032911647,-0.28218684,0.11977303,-0.080224566"
37,"38,1.0571932,2.1177862,-2.4645805,4.3473845,-8.469762,2.3523984,0.07916617,0.047345757,-0.032911647,-0.28218684,0.11977303,-0.080224566"
38,"39,1.0542735,2.1638849,-2.4469347,4.3817415,-8.426491,2.4423285,0.088741355,0.04977948,-0.04060991,-0.11272576,-0.35709658,-0.1159639"
39,"40,1.0542735,2.1638849,-2.4469347,4.3817415,-8.426491,2.4423285,0.088741355,0.04977948,-0.04060991,-0.11272576,-0.35709658,-0.1159639"
40,"41,1.0542735,2.1638849,-2.4469347,4.3817415,-8.426491,2.4423285,0.088741355,0.04977948,-0.04060991,-0.11272576,-0.35709658,-0.1159639"
41,"42,1.0542735,2.1638849,-2.4469347,4.3817415,-8.426491,2.4423285,0.088741355,0.04977948,-0.04060991,-0.11272576,-0.35709658,-0.1159639"
42,"43,1.0542735,2.1638849,-2.4469347,4.3817415,-8.426491,2.4423285,0.088741355,0.04977948,-0.04060991,-0.11272576,-0.35709658,-0.1159639"
43,"44,1.0529076,2.2032468,-2.4286427,4.431197,-8.376823,2.5226405,0.080762036,0.042391017,-0.04785571,-0.5655355,0.35573187,-0.23615116"
44,"45,1.0529076,2.2032468,-2.4286427,4.431197,-8.376823,2.5226405,0.080762036,0.042391017,-0.04785571,-0.5655355,0.35573187,-0.23615116"
45,"46,1.0529076,2.2032468,-2.4286427,4.431197,-8.376823,2.5226405,0.080762036,0.042391017,-0.04785571,-0.5655355,0.35573187,-0.23615116"
