,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,2.105949,-0.08289862,0.39249963,-0.50667727,-3.877235,8.993371,0.002146273,-0.0041924715,-0.0010039362,0.025465364,0.027565464,0.00904542"
1,"2,2.105949,-0.08289862,0.39249963,-0.50667727,-3.877235,8.993371,0.002146273,-0.0041924715,-0.0010039362,0.025465364,0.027565464,0.00904542"
2,"3,2.105949,-0.08289862,0.39249963,-0.50667727,-3.877235,8.993371,0.002146273,-0.0041924715,-0.0010039362,0.025465364,0.027565464,0.00904542"
3,"4,2.105949,-0.08289862,0.39249963,-0.50170726,-3.885204,8.99021,-0.003198117,-0.0005727653,-0.0030362948,0.027924446,0.022848204,0.010675611"
4,"5,2.105949,-0.08289862,0.39249963,-0.50170726,-3.885204,8.99021,-0.003198117,-0.0005727653,-0.0030362948,0.027924446,0.022848204,0.010675611"
5,"6,2.105949,-0.08289862,0.39249963,-0.50170726,-3.885204,8.99021,-0.003198117,-0.0005727653,-0.0030362948,0.027924446,0.022848204,0.010675611"
6,"7,2.105949,-0.08289862,0.39249963,-0.50170726,-3.885204,8.99021,-0.003198117,-0.0005727653,-0.0030362948,0.027924446,0.022848204,0.010675611"
7,"8,2.105949,-0.08289862,0.39249963,-0.49948063,-3.8918462,8.98746,-0.0042148284,0.0025348589,0.000108591186,0.029615764,0.030469067,0.010883455"
8,"9,2.105949,-0.08289862,0.39249963,-0.49948063,-3.8918462,8.98746,-0.0042148284,0.0025348589,0.000108591186,0.029615764,0.030469067,0.010883455"
9,"10,2.105949,-0.08289862,0.39249963,-0.49948063,-3.8918462,8.98746,-0.0042148284,0.0025348589,0.000108591186,0.029615764,0.030469067,0.010883455"
10,"11,2.105949,-0.08289862,0.39249963,-0.49948063,-3.8918462,8.98746,-0.0042148284,0.0025348589,0.000108591186,0.029615764,0.030469067,0.010883455"
11,"12,2.105949,-0.08289862,0.39249963,-0.505035,-3.8948228,8.98586,0.0013510021,-0.0028393401,0.0007761076,0.027585229,0.027236952,0.009255988"
12,"13,2.105949,-0.08289862,0.39249963,-0.505035,-3.8948228,8.98586,0.0013510021,-0.0028393401,0.0007761076,0.027585229,0.027236952,0.009255988"
13,"14,2.105949,-0.08289862,0.39249963,-0.505035,-3.8948228,8.98586,0.0013510021,-0.0028393401,0.0007761076,0.027585229,0.027236952,0.009255988"
14,"15,2.105949,-0.08289862,0.39249963,-0.505035,-3.8948228,8.98586,0.0013510021,-0.0028393401,0.0007761076,0.027585229,0.027236952,0.009255988"
15,"16,2.104851,-0.080970466,0.3792661,-0.5174433,-3.8962479,8.984536,0.0011455306,0.00027680106,-0.0030448118,0.02827282,0.033925284,0.009609167"
16,"17,2.104851,-0.080970466,0.3792661,-0.5174433,-3.8962479,8.984536,0.0011455306,0.00027680106,-0.0030448118,0.02827282,0.033925284,0.009609167"
17,"18,2.104851,-0.080970466,0.3792661,-0.5174433,-3.8962479,8.984536,0.0011455306,0.00027680106,-0.0030448118,0.02827282,0.033925284,0.009609167"
18,"19,2.104851,-0.080970466,0.3792661,-0.5174433,-3.8962479,8.984536,0.0011455306,0.00027680106,-0.0030448118,0.02827282,0.033925284,0.009609167"
19,"20,2.104851,-0.080970466,0.3792661,-0.5174433,-3.8962479,8.984536,0.0011455306,0.00027680106,-0.0030448118,0.02827282,0.033925284,0.009609167"
20,"21,2.1033125,-0.08176438,0.36787084,-0.53573,-3.8976066,8.982875,-0.00064835325,-0.0013488729,-0.003981677,0.024944391,0.036715463,0.013832846"
