,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,-0.45101133,-0.56030285,0.45332485,1.7617583,-9.640928,-0.3451132,-0.0037283157,-0.0029293909,0.001065233,1.8173488,-9.965508,-0.37268212"
1,"2,-0.45101133,-0.56030285,0.45332485,1.7617583,-9.640928,-0.3451132,0.0015978495,-0.0022636203,-0.0011983871,1.7886349,-9.970892,-0.37567315"
2,"3,-0.45101133,-0.56030285,0.45332485,1.7617583,-9.640928,-0.3451132,0.0015978495,-0.0022636203,-0.0011983871,1.7886349,-9.970892,-0.37567315"
3,"4,-0.45101133,-0.56030285,0.45332485,1.7617583,-9.640928,-0.3451132,0.0015978495,-0.0022636203,-0.0011983871,1.7886349,-9.970892,-0.37567315"
4,"5,-0.4514725,-0.5601504,0.4536142,1.7533259,-9.641977,-0.3584734,0.0015978495,-0.0022636203,-0.0011983871,1.7886349,-9.970892,-0.37567315"
5,"6,-0.4514725,-0.5601504,0.4536142,1.7533259,-9.641977,-0.3584734,0.0015978495,-0.0022636203,-0.0011983871,1.8143578,-9.960124,-0.33559337"
6,"7,-0.4514725,-0.5601504,0.4536142,1.7533259,-9.641977,-0.3584734,0.0067908606,-0.0037283157,-0.00079892477,1.8143578,-9.960124,-0.33559337"
7,"8,-0.4514725,-0.5601504,0.4536142,1.7533259,-9.641977,-0.3584734,0.0067908606,-0.0037283157,-0.00079892477,1.8143578,-9.960124,-0.33559337"
8,"9,-0.45211762,-0.56023806,0.45342228,1.7539719,-9.642538,-0.33972925,0.0067908606,-0.0037283157,-0.00079892477,1.8143578,-9.960124,-0.33559337"
9,"10,-0.45211762,-0.56023806,0.45342228,1.7539719,-9.642538,-0.33972925,0.0067908606,-0.0037283157,-0.00079892477,1.8311075,-9.954741,-0.36430725"
10,"11,-0.45211762,-0.56023806,0.45342228,1.7539719,-9.642538,-0.33972925,0.005059857,0.002130466,-0.0005326165,1.8311075,-9.954741,-0.36430725"
