,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,-2.318353,2.875245,1.8871459,2.1803849,1.0664535,9.501526,0.0018364686,-0.0010113885,0.004870634,-0.30442137,1.0703872,0.9682494"
1,"2,-2.318353,2.875245,1.8871459,2.1803849,1.0664535,9.501526,0.0018364686,-0.0010113885,0.004870634,-0.30442137,1.0703872,0.9682494"
2,"3,-2.318353,2.875245,1.8871459,2.1803849,1.0664535,9.501526,0.0018364686,-0.0010113885,0.004870634,-0.30442137,1.0703872,0.9682494"
3,"4,-2.316965,2.869409,1.8803718,2.229361,0.9576973,9.501745,0.0009432529,-0.002146273,-0.0023538736,-0.2672133,0.99779856,0.9531402"
4,"5,-2.316965,2.869409,1.8803718,2.229361,0.9576973,9.501745,0.0009432529,-0.002146273,-0.0023538736,-0.2672133,0.99779856,0.9531402"
5,"6,-2.316965,2.869409,1.8803718,2.229361,0.9576973,9.501745,0.0009432529,-0.002146273,-0.0023538736,-0.2672133,0.99779856,0.9531402"
6,"7,-2.3059247,2.8578231,1.8817973,2.3243754,0.7792234,9.495287,-0.002995839,0.001278608,-0.0033791023,-0.17991772,1.0147498,0.8875627"
7,"8,-2.3059247,2.8578231,1.8817973,2.3243754,0.7792234,9.495287,-0.002995839,0.001278608,-0.0033791023,-0.17991772,1.0147498,0.8875627"
8,"9,-2.3059247,2.8578231,1.8817973,2.3243754,0.7792234,9.495287,-0.002995839,0.001278608,-0.0033791023,-0.17991772,1.0147498,0.8875627"
9,"10,-2.3059247,2.8578231,1.8817973,2.3243754,0.7792234,9.495287,-0.002995839,0.001278608,-0.0033791023,-0.17991772,1.0147498,0.8875627"
10,"11,-2.2929869,2.8435454,1.883415,2.4430475,0.53479093,9.4824,-0.004702424,0.0008623418,0.0010561026,-0.6627684,1.6409773,0.98924106"
11,"12,-2.2929869,2.8435454,1.883415,2.4430475,0.53479093,9.4824,-0.004702424,0.0008623418,0.0010561026,-0.6627684,1.6409773,0.98924106"
12,"13,-2.2929869,2.8435454,1.883415,2.4430475,0.53479093,9.4824,-0.004702424,0.0008623418,0.0010561026,-0.6627684,1.6409773,0.98924106"
13,"14,-2.2929869,2.8435454,1.883415,2.4430475,0.53479093,9.4824,-0.004702424,0.0008623418,0.0010561026,-0.6627684,1.6409773,0.98924106"
14,"15,-2.2800634,2.8279958,1.8844645,2.5769522,0.23313826,9.459142,-0.019481473,0.07118152,-0.009512375,-0.1522184,0.9995971,1.1337925"
15,"16,-2.2800634,2.8279958,1.8844645,2.5769522,0.23313826,9.459142,-0.019481473,0.07118152,-0.009512375,-0.1522184,0.9995971,1.1337925"
16,"17,-2.2800634,2.8279958,1.8844645,2.5769522,0.23313826,9.459142,-0.019481473,0.07118152,-0.009512375,-0.1522184,0.9995971,1.1337925"
17,"18,-2.2800634,2.8279958,1.8844645,2.5769522,0.23313826,9.459142,-0.019481473,0.07118152,-0.009512375,-0.1522184,0.9995971,1.1337925"
18,"19,-2.2800634,2.8279958,1.8844645,2.5769522,0.23313826,9.459142,-0.019481473,0.07118152,-0.009512375,-0.1522184,0.9995971,1.1337925"
19,"20,-2.2694178,2.813191,1.8839254,2.7137132,-0.11574376,9.422991,-0.006583607,0.10006039,-0.014799275,0.05306332,0.68336755,0.576586"
20,"21,-2.2694178,2.813191,1.8839254,2.7137132,-0.11574376,9.422991,-0.006583607,0.10006039,-0.014799275,0.05306332,0.68336755,0.576586"
21,"22,-2.2694178,2.813191,1.8839254,2.7137132,-0.11574376,9.422991,-0.006583607,0.10006039,-0.014799275,0.05306332,0.68336755,0.576586"
22,"23,-2.2694178,2.813191,1.8839254,2.7137132,-0.11574376,9.422991,-0.006583607,0.10006039,-0.014799275,0.05306332,0.68336755,0.576586"
23,"24,-2.2694178,2.813191,1.8839254,2.7137132,-0.11574376,9.422991,-0.006583607,0.10006039,-0.014799275,0.05306332,0.68336755,0.576586"
24,"25,-2.2668176,2.8058248,1.880538,2.7985263,-0.4780524,9.386699,0.032448538,0.1089489,-0.011356296,0.19252351,0.36040005,0.4069277"
25,"26,-2.2668176,2.8058248,1.880538,2.7985263,-0.4780524,9.386699,0.032448538,0.1089489,-0.011356296,0.19252351,0.36040005,0.4069277"
26,"27,-2.2668176,2.8058248,1.880538,2.7985263,-0.4780524,9.386699,0.032448538,0.1089489,-0.011356296,0.19252351,0.36040005,0.4069277"
27,"28,-2.2668176,2.8058248,1.880538,2.7985263,-0.4780524,9.386699,0.032448538,0.1089489,-0.011356296,0.19252351,0.36040005,0.4069277"
28,"29,-2.2668176,2.8058248,1.880538,2.7985263,-0.4780524,9.386699,0.032448538,0.1089489,-0.011356296,0.19252351,0.36040005,0.4069277"
29,"30,-2.26497,2.7985911,1.876988,2.8856773,-0.8488828,9.333952,0.08963138,0.091002606,0.009626289,0.051068235,0.4294958,0.6207141"
30,"31,-2.26497,2.7985911,1.876988,2.8856773,-0.8488828,9.333952,0.08963138,0.091002606,0.009626289,0.051068235,0.4294958,0.6207141"
