,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,0.6468244,2.5414512,-2.8862588,2.7478423,-9.411865,-0.19114612,0.0004322355,0.0035206967,0.003684648,0.0043141367,0.026666716,-0.3131472"
1,"2,0.6468244,2.5414512,-2.8862588,2.7478423,-9.411865,-0.19114612,0.0004322355,0.0035206967,0.003684648,0.0043141367,0.026666716,-0.3131472"
2,"3,0.6468244,2.5414512,-2.8862588,2.7478423,-9.411865,-0.19114612,0.0004322355,0.0035206967,0.003684648,0.0043141367,0.026666716,-0.3131472"
3,"4,0.66774154,2.4990003,-2.8741717,2.802586,-9.396373,-0.15522614,-0.002058974,0.001345679,0.003885861,-0.05307219,-0.14845136,-0.30265203"
4,"5,0.66774154,2.4990003,-2.8741717,2.802586,-9.396373,-0.15522614,-0.002058974,0.001345679,0.003885861,-0.05307219,-0.14845136,-0.30265203"
5,"6,0.66774154,2.4990003,-2.8741717,2.802586,-9.396373,-0.15522614,-0.002058974,0.001345679,0.003885861,-0.05307219,-0.14845136,-0.30265203"
6,"7,0.66774154,2.4990003,-2.8741717,2.802586,-9.396373,-0.15522614,-0.002058974,0.001345679,0.003885861,-0.05307219,-0.14845136,-0.30265203"
7,"8,0.69133765,2.4302502,-2.8658664,2.856155,-9.380389,-0.14509681,-0.0004599156,-0.002901088,-0.003849664,-0.15255609,0.014255632,-0.56178427"
8,"9,0.69133765,2.4302502,-2.8658664,2.856155,-9.380389,-0.14509681,-0.0004599156,-0.002901088,-0.003849664,-0.15255609,0.014255632,-0.56178427"
9,"10,0.69133765,2.4302502,-2.8658664,2.856155,-9.380389,-0.14509681,-0.0004599156,-0.002901088,-0.003849664,-0.15255609,0.014255632,-0.56178427"
10,"11,0.69133765,2.4302502,-2.8658664,2.856155,-9.380389,-0.14509681,-0.0004599156,-0.002901088,-0.003849664,-0.15255609,0.014255632,-0.56178427"
11,"12,0.72061783,2.314193,-2.8592427,2.9088254,-9.36413,-0.14898777,0.032293104,-0.08237919,0.024662975,-0.2521316,0.09840431,0.45797762"
12,"13,0.72061783,2.314193,-2.8592427,2.9088254,-9.36413,-0.14898777,0.032293104,-0.08237919,0.024662975,-0.2521316,0.09840431,0.45797762"
13,"14,0.72061783,2.314193,-2.8592427,2.9088254,-9.36413,-0.14898777,0.032293104,-0.08237919,0.024662975,-0.2521316,0.09840431,0.45797762"
14,"15,0.72061783,2.314193,-2.8592427,2.9088254,-9.36413,-0.14898777,0.032293104,-0.08237919,0.024662975,-0.2521316,0.09840431,0.45797762"
15,"16,0.7556904,2.099846,-2.8566306,2.9413662,-9.353527,-0.1740133,0.027165895,-0.13853042,0.040499188,-0.14728673,-0.034746215,0.12497333"
16,"17,0.7556904,2.099846,-2.8566306,2.9413662,-9.353527,-0.1740133,0.027165895,-0.13853042,0.040499188,-0.14728673,-0.034746215,0.12497333"
17,"18,0.7556904,2.099846,-2.8566306,2.9413662,-9.353527,-0.1740133,0.027165895,-0.13853042,0.040499188,-0.14728673,-0.034746215,0.12497333"
18,"19,0.7556904,2.099846,-2.8566306,2.9413662,-9.353527,-0.1740133,0.027165895,-0.13853042,0.040499188,-0.14728673,-0.034746215,0.12497333"
19,"20,0.7556904,2.099846,-2.8566306,2.9413662,-9.353527,-0.1740133,0.027165895,-0.13853042,0.040499188,-0.14728673,-0.034746215,0.12497333"
20,"21,0.8093132,1.7180332,-2.849054,2.9922967,-9.337251,-0.1797409,-0.0060449094,-0.17699087,0.047939815,-0.19969249,-0.028205913,0.06435143"
21,"22,0.8093132,1.7180332,-2.849054,2.9922967,-9.337251,-0.1797409,-0.0060449094,-0.17699087,0.047939815,-0.19969249,-0.028205913,0.06435143"
22,"23,0.8093132,1.7180332,-2.849054,2.9922967,-9.337251,-0.1797409,-0.0060449094,-0.17699087,0.047939815,-0.19969249,-0.028205913,0.06435143"
23,"24,0.8093132,1.7180332,-2.849054,2.9922967,-9.337251,-0.1797409,-0.0060449094,-0.17699087,0.047939815,-0.19969249,-0.028205913,0.06435143"
24,"25,0.8093132,1.7180332,-2.849054,2.9922967,-9.337251,-0.1797409,-0.0060449094,-0.17699087,0.047939815,-0.19969249,-0.028205913,0.06435143"
25,"26,0.8806693,1.2040616,-2.8414383,3.0437334,-9.320379,-0.19128284,-0.045436896,-0.1920105,0.04405821,-0.071444444,0.011586802,0.088556826"
26,"27,0.8806693,1.2040616,-2.8414383,3.0437334,-9.320379,-0.19128284,-0.045436896,-0.1920105,0.04405821,-0.071444444,0.011586802,0.088556826"
27,"28,0.8806693,1.2040616,-2.8414383,3.0437334,-9.320379,-0.19128284,-0.045436896,-0.1920105,0.04405821,-0.071444444,0.011586802,0.088556826"
28,"29,0.8806693,1.2040616,-2.8414383,3.0437334,-9.320379,-0.19128284,-0.045436896,-0.1920105,0.04405821,-0.071444444,0.011586802,0.088556826"
29,"30,0.8806693,1.2040616,-2.8414383,3.0437334,-9.320379,-0.19128284,-0.045436896,-0.1920105,0.04405821,-0.071444444,0.011586802,0.088556826"
30,"31,0.9700573,0.79109347,-2.8358755,3.0745382,-9.3098955,-0.208439,-0.06317558,-0.19111836,0.03228139,-0.08587643,-0.100098856,-0.10258032"
31,"32,0.9700573,0.79109347,-2.8358755,3.0745382,-9.3098955,-0.208439,-0.06317558,-0.19111836,0.03228139,-0.08587643,-0.100098856,-0.10258032"
