Timestamp,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
2024-06-11T16:54:13.197Z,-156.62,42.47,-156.56,-6.28,-2.72,-6.30,27.36,-3.73,10.39,0.00,0.32,0.60
2024-06-11T16:54:13.212Z,-155.26,42.23,-155.24,-6.45,-2.97,-6.45,33.68,3.85,16.88,-0.16,0.10,0.42
2024-06-11T16:54:13.231Z,-156.21,40.54,-154.74,-6.28,-2.97,-6.72,39.38,-0.37,21.32,0.01,0.15,0.12
2024-06-11T16:54:13.245Z,-156.84,38.12,-153.38,-6.36,-3.19,-7.45,41.00,-22.94,22.07,-0.02,-0.04,-0.67
2024-06-11T16:54:13.262Z,-151.37,37.82,-148.32,-6.70,-4.13,-7.57,40.71,-35.18,26.82,-0.29,-0.95,-0.87
2024-06-11T16:54:13.279Z,-151.41,41.42,-151.52,-7.04,-3.82,-7.00,47.40,-31.78,35.99,-0.51,-0.60,-0.43
2024-06-11T16:54:13.296Z,-150.74,42.29,-151.75,-7.02,-3.77,-6.73,60.30,-28.85,45.07,-0.41,-0.54,-0.25
2024-06-11T16:54:13.312Z,-152.94,39.83,-151.39,-6.71,-3.66,-7.17,74.12,-42.08,48.27,-0.00,-0.39,-0.81
2024-06-11T16:54:13.328Z,-155.19,38.19,-151.92,-6.13,-3.27,-7.07,75.75,-36.82,45.66,0.69,0.04,-0.85
2024-06-11T16:54:13.345Z,-157.17,34.74,-150.77,-4.34,-2.43,-5.77,54.75,2.76,21.74,2.56,0.94,0.33
2024-06-11T16:54:13.363Z,-149.56,33.03,-142.07,-4.44,-3.46,-5.90,34.79,-2.88,3.22,2.46,-0.05,0.17
2024-06-11T16:54:13.379Z,-147.53,43.00,-150.07,-6.74,-3.88,-6.09,24.78,-17.72,3.25,0.20,-0.40,-0.09
2024-06-11T16:54:13.397Z,-147.48,47.78,-153.99,-7.12,-3.47,-5.45,25.73,-7.07,14.28,-0.16,0.03,0.51
2024-06-11T16:54:13.413Z,-145.19,47.49,-152.38,-7.23,-3.79,-5.44,26.77,-7.75,25.25,-0.25,-0.28,0.48
2024-06-11T16:54:13.429Z,-155.28,43.45,-156.19,-6.77,-2.99,-6.49,29.95,-33.24,24.29,0.29,0.51,-0.66
2024-06-11T16:54:13.446Z,-151.79,44.78,-154.53,-7.06,-3.36,-6.27,37.63,-42.89,30.92,0.09,0.14,-0.53
2024-06-11T16:54:13.462Z,-151.04,46.68,-155.46,-7.24,-3.31,-5.98,46.08,-58.08,45.75,0.01,0.18,-0.37
2024-06-11T16:54:13.479Z,-156.17,43.90,-157.22,-6.27,-2.63,-5.96,52.06,-75.78,51.26,1.18,0.82,-0.59
2024-06-11T16:54:13.496Z,-157.72,42.18,-157.30,-6.15,-2.57,-6.28,39.18,-111.67,39.17,1.46,0.86,-1.13
2024-06-11T16:54:13.513Z,-145.25,46.79,-151.83,-7.31,-3.91,-5.64,35.63,-135.33,52.95,0.51,-0.53,-0.78
2024-06-11T16:54:13.529Z,-148.48,50.90,-156.98,-7.03,-2.99,-4.87,55.44,-153.01,83.70,1.10,0.28,-0.46
2024-06-11T16:54:13.546Z,-148.87,47.98,-155.02,-6.28,-2.93,-4.84,72.91,-181.60,98.37,2.11,0.21,-0.85
2024-06-11T16:54:13.561Z,-152.55,49.26,-158.35,-5.61,-2.23,-4.29,96.76,-231.86,101.72,3.06,0.77,-0.82
2024-06-11T16:54:13.579Z,-143.63,55.07,-157.50,-6.98,-2.89,-3.93,125.03,-284.98,106.08,2.07,-0.11,-1.36
2024-06-11T16:54:13.596Z,-171.99,53.19,-174.04,-8.63,-0.90,-6.40,119.13,-357.28,60.45,0.66,1.74,-4.69
2024-06-11T16:54:13.613Z,-172.60,51.97,-174.25,-9.87,-0.99,-7.65,113.84,-375.84,22.64,-0.44,1.59,-6.94
2024-06-11T16:54:13.629Z,-108.84,69.73,-160.74,-7.70,-2.69,-0.92,76.49,-333.08,19.12,1.75,-0.16,-1.48
2024-06-11T16:54:13.646Z,-40.92,60.54,-159.70,-7.00,-2.59,2.99,26.35,-263.76,30.72,2.40,-0.13,1.65
2024-06-11T16:54:13.662Z,-29.87,37.52,-147.03,-7.77,-5.04,8.77,2.61,-192.32,39.41,1.55,-2.67,6.87
2024-06-11T16:54:13.679Z,-30.08,43.76,-152.37,-10.27,-5.38,9.28,-22.21,-97.74,40.66,-1.02,-3.13,6.91
2024-06-11T16:54:13.696Z,-30.82,50.77,-157.31,-11.57,-4.84,8.11,-42.57,-41.09,54.23,-2.34,-2.68,5.60
2024-06-11T16:54:13.713Z,-36.02,53.27,-156.31,-9.39,-4.12,5.67,-54.40,5.76,62.98,-0.14,-2.08,3.14
2024-06-11T16:54:13.729Z,-40.75,51.93,-152.92,-7.00,-3.58,4.15,-88.89,43.67,68.97,2.33,-1.69,1.77
2024-06-11T16:54:13.746Z,-50.77,59.80,-155.73,-6.97,-3.14,2.57,-94.02,5.08,102.62,2.41,-1.40,0.31
2024-06-11T16:54:13.762Z,-92.32,73.64,-163.65,-8.06,-2.37,-0.10,-66.52,-37.99,51.49,1.34,-0.78,-2.38
2024-06-11T16:54:13.779Z,-92.17,80.76,-170.77,-12.59,-2.05,-0.08,-31.35,-53.80,17.59,-3.21,-0.51,-2.48
2024-06-11T16:54:13.796Z,-98.67,72.83,-163.02,-11.75,-3.59,-0.55,-9.00,-72.42,4.69,-2.40,-2.06,-3.09
2024-06-11T16:54:13.812Z,-83.77,80.78,-170.84,-9.50,-1.53,0.17,-4.48,-99.97,16.72,-0.21,-0.03,-2.58
2024-06-11T16:54:13.829Z,-20.43,71.01,-173.15,-8.92,-1.07,2.88,-24.97,-102.13,16.98,0.27,0.39,-0.22
2024-06-11T16:54:13.846Z,-10.62,55.95,-172.91,-8.65,-1.08,5.74,-45.05,-65.54,7.00,0.47,0.38,2.46
2024-06-11T16:54:13.862Z,0.87,54.32,179.38,-7.28,0.08,5.23,-46.29,-61.81,2.72,1.79,1.57,1.82
2024-06-11T16:54:13.879Z,0.64,61.03,179.64,-8.78,0.05,4.86,-21.35,-48.31,8.95,0.22,1.56,1.28
2024-06-11T16:54:13.896Z,3.33,63.65,178.35,-9.52,0.27,4.71,-17.95,-23.09,-5.71,-0.54,1.80,1.05
2024-06-11T16:54:13.913Z,12.34,70.46,175.66,-11.24,0.85,3.90,-9.01,11.26,-18.82,-2.28,2.42,0.23
2024-06-11T16:54:13.929Z,9.72,71.77,176.82,-11.39,0.63,3.70,7.68,32.98,-28.54,-2.42,2.26,0.09
2024-06-11T16:54:13.946Z,4.40,76.26,178.92,-10.90,0.20,2.66,39.84,45.07,-76.69,-1.91,1.95,-0.85
2024-06-11T16:54:13.963Z,-12.02,71.34,-175.98,-9.27,-0.65,3.06,68.65,83.79,-116.54,-0.27,1.28,-0.32
2024-06-11T16:54:13.979Z,-27.43,73.59,-172.28,-8.27,-1.12,2.16,72.25,55.89,-80.81,0.74,0.99,-1.07
2024-06-11T16:54:13.996Z,-76.53,62.28,-152.93,-9.40,-4.80,1.15,33.04,-30.28,-20.75,-0.41,-2.61,-2.11
