,Gravity X,Gravity Y,Gravity Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0,-6.28,-2.72,-6.3,0.0,0.32,0.6
1,-6.45,-2.97,-6.45,-0.16,0.1,0.42
2,-6.28,-2.97,-6.72,0.01,0.15,0.12
3,-6.36,-3.19,-7.45,-0.02,-0.04,-0.67
4,-6.7,-4.13,-7.57,-0.29,-0.95,-0.87
5,-7.04,-3.82,-7.0,-0.51,-0.6,-0.43
6,-7.02,-3.77,-6.73,-0.41,-0.54,-0.25
7,-6.71,-3.66,-7.17,-0.0,-0.39,-0.81
8,-6.13,-3.27,-7.07,0.69,0.04,-0.85
9,-4.34,-2.43,-5.77,2.56,0.94,0.33
10,-4.44,-3.46,-5.9,2.46,-0.05,0.17
11,-6.74,-3.88,-6.09,0.2,-0.4,-0.09
12,-7.12,-3.47,-5.45,-0.16,0.03,0.51
13,-7.23,-3.79,-5.44,-0.25,-0.28,0.48
14,-6.77,-2.99,-6.49,0.29,0.51,-0.66
15,-7.06,-3.36,-6.27,0.09,0.14,-0.53
16,-7.24,-3.31,-5.98,0.01,0.18,-0.37
17,-6.27,-2.63,-5.96,1.18,0.82,-0.59
18,-6.15,-2.57,-6.28,1.46,0.86,-1.13
19,-7.31,-3.91,-5.64,0.51,-0.53,-0.78
20,-7.03,-2.99,-4.87,1.1,0.28,-0.46
21,-6.28,-2.93,-4.84,2.11,0.21,-0.85
22,-5.61,-2.23,-4.29,3.06,0.77,-0.82
23,-6.98,-2.89,-3.93,2.07,-0.11,-1.36
24,-8.63,-0.9,-6.4,0.66,1.74,-4.69
25,-9.87,-0.99,-7.65,-0.44,1.59,-6.94
26,-7.7,-2.69,-0.92,1.75,-0.16,-1.48
27,-7.0,-2.59,2.99,2.4,-0.13,1.65
28,-7.77,-5.04,8.77,1.55,-2.67,6.87
29,-10.27,-5.38,9.28,-1.02,-3.13,6.91
30,-11.57,-4.84,8.11,-2.34,-2.68,5.6
